dataset,series,model,family,window_type,h,coverage,interval_width,mae,rmse,pinball_lower,pinball_upper,n
retail,Riyadh/Grocery,prophet,gam,expanding,6,1.0,421.50995920141963,39.738444374754124,45.21968972055712,10.810452290093707,10.265045669977287,6
retail,Riyadh/Grocery,prophet,gam,expanding,7,1.0,427.39977830740713,32.46084765965011,36.9074812906302,11.706746700015186,9.663242215355181,6
retail,Riyadh/Grocery,prophet,gam,expanding,8,1.0,437.7700379382256,31.01489520328539,37.03945871101638,11.37467424750877,10.513827649402517,6
retail,Riyadh/Grocery,prophet,gam,expanding,9,1.0,413.66399756727395,34.558731488431015,44.58795831647871,10.807586217267676,9.875613661096027,6
retail,Riyadh/Grocery,prophet,gam,expanding,10,1.0,428.78072466436566,37.8165923792597,44.05702543007879,9.864620895179383,11.57441533803891,6
retail,Riyadh/Grocery,prophet,gam,expanding,11,1.0,432.01779985553685,44.304210851288154,50.427999920045394,10.359100194416031,11.241789798360822,6
retail,Riyadh/Grocery,prophet,gam,expanding,12,1.0,430.3712519483575,24.059266196248785,28.877159711994533,12.029578866071134,9.488983731346751,6
retail,Riyadh/Grocery,prophet,gam,expanding,13,1.0,427.65707294594193,25.782522052507346,31.409999096514674,10.612815041350006,10.7700386059471,6
retail,Riyadh/Grocery,prophet,gam,expanding,14,1.0,425.40175057601823,35.57864062601822,47.69713275107743,11.38386311788305,9.886224410917867,6
retail,Riyadh/Grocery,sktime_theta,gam,expanding,1,1.0,181.23794534345723,22.24140792848908,26.360886780414145,3.9116198609477295,5.150277406225137,6
retail,Riyadh/Grocery,sktime_theta,gam,expanding,2,1.0,222.2163568887804,21.32728599854666,27.29631501269785,5.571760314059515,5.539057530379509,6
retail,Riyadh/Grocery,sktime_theta,gam,expanding,3,1.0,352.237933774322,57.93892908771875,66.43075191956576,9.625446961934891,7.986449726781216,6
retail,Riyadh/Grocery,sktime_theta,gam,expanding,4,1.0,343.9533897339129,35.6904218740626,41.53875088573369,8.432426904216618,8.765242582479038,6
retail,Riyadh/Grocery,sktime_theta,gam,expanding,5,1.0,248.89691113713013,40.802739186547804,53.63717191683738,6.759671435278771,5.685174121577741,6
retail,Riyadh/Grocery,sktime_theta,gam,expanding,6,1.0,254.0984763811131,27.413414219674166,31.55440217863368,5.530859002067388,7.174064816988273,6
retail,Riyadh/Grocery,sktime_theta,gam,expanding,7,1.0,271.6169821235837,39.24937354587189,42.34215779106058,6.261754256908609,7.319094849270583,6
retail,Riyadh/Grocery,sktime_theta,gam,expanding,8,1.0,299.78467739594515,34.427095137232584,39.96140466094433,6.936062945555295,8.05317092424197,6
retail,Riyadh/Grocery,sktime_theta,gam,expanding,9,1.0,346.74141065657113,39.442322737206304,48.04125972502297,8.107838496432214,9.229232036396354,6
retail,Riyadh/Grocery,sktime_theta,gam,expanding,10,1.0,529.530265364592,62.30625528464483,68.98659902365029,12.67843021364378,13.798083054585831,6
retail,Riyadh/Grocery,sktime_theta,gam,expanding,11,1.0,497.22962635447493,66.46491258620021,77.0670480256988,12.070703113223097,12.790778204500661,6
retail,Riyadh/Grocery,sktime_theta,gam,expanding,12,1.0,346.27919495633006,37.594079008935104,42.12985217414161,8.35794670345519,8.95601304436132,6
retail,Riyadh/Grocery,sktime_theta,gam,expanding,13,1.0,344.62727502862276,25.410805574350274,30.054374604712017,6.763624778767188,10.467738972663959,6
retail,Riyadh/Grocery,sktime_theta,gam,expanding,14,1.0,360.8533153104924,36.18113708472615,52.71501339602087,7.839159505129078,10.203506260395551,6
retail,Riyadh/Grocery,lgbm_quantile,ml,expanding,1,1.0,100.65693066878036,27.732258260170244,32.3764808689664,1.5948192555199947,3.4380272779190264,6
retail,Riyadh/Grocery,lgbm_quantile,ml,expanding,2,1.0,98.71059789301667,23.813333889999882,26.065560123312313,2.429308423144874,2.5062214715059614,6
retail,Riyadh/Grocery,lgbm_quantile,ml,expanding,3,0.8333333333333334,109.38030545981455,30.220413667573553,36.87102636934638,4.502579007036975,10.684954679950074,6
retail,Riyadh/Grocery,lgbm_quantile,ml,expanding,4,0.8333333333333334,110.73205310125745,18.236300481082747,24.355724089048298,2.591505467353371,3.700136047183507,6
retail,Riyadh/Grocery,lgbm_quantile,ml,expanding,5,0.5,79.67796417603786,42.99629444957993,54.88016669334286,3.2739774955227468,17.044243556428537,6
retail,Riyadh/Grocery,lgbm_quantile,ml,expanding,6,0.6666666666666666,82.34011934318094,35.069473317146794,39.19990444670863,5.5079960490406705,2.5467655043780297,6
retail,Riyadh/Grocery,lgbm_quantile,ml,expanding,7,0.6666666666666666,85.05409315592581,36.45208739654268,39.776572687365366,5.718700510979342,5.005926910729335,6
retail,Riyadh/Grocery,lgbm_quantile,ml,expanding,8,0.6666666666666666,95.86562898081486,25.989550247195552,30.980121893770956,4.081209869184946,4.772775086574538,6
retail,Riyadh/Grocery,lgbm_quantile,ml,expanding,9,0.5,87.1130688545433,38.69207133202101,46.58682013781731,4.821258584605608,7.58484649096208,6
retail,Riyadh/Grocery,lgbm_quantile,ml,expanding,10,0.5,100.40683642112077,27.8402120455472,36.27970812792315,4.507399888786917,10.792274046808528,6
retail,Riyadh/Grocery,lgbm_quantile,ml,expanding,11,0.6666666666666666,98.70021453976098,55.216665433740275,64.77319708865043,3.3321674938569807,13.906558500914516,6
retail,Riyadh/Grocery,lgbm_quantile,ml,expanding,12,0.6666666666666666,85.5544506523014,29.980769467597565,36.20540411927284,3.123530733298427,5.053042067891596,6
retail,Riyadh/Grocery,lgbm_quantile,ml,expanding,13,0.6666666666666666,82.5232706517535,36.630533523278764,42.77642475710281,6.637225081675091,4.106859198484356,6
retail,Riyadh/Grocery,lgbm_quantile,ml,expanding,14,0.8333333333333334,91.189538469929,32.03140042852481,41.97444622799973,2.2917272967214193,10.479558985849167,6
retail,Riyadh/Grocery,lgbm_conformal,ml,expanding,1,1.0,194.60771110544604,20.907771892346688,25.704211094813317,3.558624230796234,6.171761324476075,6
retail,Riyadh/Grocery,lgbm_conformal,ml,expanding,2,1.0,215.7019738363018,21.38391232488122,27.00842808984302,4.439131321458931,6.345967370356161,6
retail,Riyadh/Grocery,lgbm_conformal,ml,expanding,3,1.0,320.8360803374733,28.61652212700496,37.1541053850563,7.334466651306482,8.70733736556719,6
retail,Riyadh/Grocery,lgbm_conformal,ml,expanding,4,1.0,281.09381685213407,16.60320184711681,19.3295851339833,6.411327795170544,7.643363047436165,6
retail,Riyadh/Grocery,lgbm_conformal,ml,expanding,5,0.8333333333333334,184.87075112972778,43.97003372346677,56.532209670705974,5.680263988475139,4.273556172335474,6
retail,Riyadh/Grocery,lgbm_conformal,ml,expanding,6,1.0,178.53373024158745,33.28498559838136,36.75232240362315,4.063400750116255,4.863285761963122,6
retail,Riyadh/Grocery,lgbm_conformal,ml,expanding,7,1.0,176.8156539836939,35.859551754192495,39.78798583733282,4.671966301196114,4.168816397988584,6
retail,Riyadh/Grocery,lgbm_conformal,ml,expanding,8,1.0,196.4683707908147,31.091781781115817,33.81499909087076,4.487781193655779,5.335637345884961,6
retail,Riyadh/Grocery,lgbm_conformal,ml,expanding,9,1.0,231.23910713501814,43.25353640544378,57.489988981426876,4.488151196797358,7.073804159953556,6
retail,Riyadh/Grocery,lgbm_conformal,ml,expanding,10,1.0,336.1270011315806,23.41105412312544,35.01680277420686,7.430408380807727,9.375941675771314,6
retail,Riyadh/Grocery,lgbm_conformal,ml,expanding,11,0.8333333333333334,306.07135049204084,50.61023495282802,63.218317824014534,6.930188367237111,8.414850897536438,6
retail,Riyadh/Grocery,lgbm_conformal,ml,expanding,12,1.0,187.98675752940667,35.38416662944102,40.470838132456336,5.334045869703836,4.065292006766503,6
retail,Riyadh/Grocery,lgbm_conformal,ml,expanding,13,1.0,189.0429859411996,35.515008088222096,46.713473635739284,3.661921023617355,5.7902282734426285,6
retail,Riyadh/Grocery,lgbm_conformal,ml,expanding,14,1.0,194.11395375570893,28.193041385196853,31.919496032679998,4.581248052047898,5.124449635737553,6
retail,Riyadh/Grocery,seasonal_naive,baseline,rolling,1,1.0,487.8666666666668,36.666666666666664,37.82415454001142,11.880000000000004,12.513333333333348,6
retail,Riyadh/Grocery,seasonal_naive,baseline,rolling,2,1.0,487.8666666666668,39.833333333333336,44.883181705400524,12.738333333333337,11.655000000000015,6
retail,Riyadh/Grocery,seasonal_naive,baseline,rolling,3,1.0,487.8666666666668,37.0,45.83666654546336,13.280000000000006,11.113333333333346,6
retail,Riyadh/Grocery,seasonal_naive,baseline,rolling,4,1.0,487.8666666666668,42.166666666666664,47.66375282469199,11.455000000000005,12.938333333333349,6
retail,Riyadh/Grocery,seasonal_naive,baseline,rolling,5,1.0,487.8666666666668,32.0,38.7556447501522,13.013333333333337,11.380000000000015,6
retail,Riyadh/Grocery,seasonal_naive,baseline,rolling,6,1.0,487.8666666666668,43.0,60.591528560792504,13.030000000000003,11.363333333333346,6
retail,Riyadh/Grocery,seasonal_naive,baseline,rolling,7,1.0,487.8666666666668,61.666666666666664,62.65514078403037,13.06333333333334,11.330000000000013,6
retail,Riyadh/Grocery,seasonal_naive,baseline,rolling,8,1.0,487.8666666666668,47.333333333333336,58.42088667591412,12.963333333333338,11.430000000000014,6
retail,Riyadh/Grocery,seasonal_naive,baseline,rolling,9,1.0,487.8666666666668,56.166666666666664,64.29489352455087,13.338333333333338,11.055000000000012,6
retail,Riyadh/Grocery,seasonal_naive,baseline,rolling,10,1.0,487.8666666666668,47.333333333333336,53.612809414666316,13.880000000000003,10.513333333333348,6
retail,Riyadh/Grocery,seasonal_naive,baseline,rolling,11,1.0,487.8666666666668,61.0,77.73244710758392,12.996666666666671,11.39666666666668,6
retail,Riyadh/Grocery,seasonal_naive,baseline,rolling,12,1.0,487.8666666666668,29.666666666666668,37.82415454001142,13.19666666666667,11.196666666666681,6
retail,Riyadh/Grocery,seasonal_naive,baseline,rolling,13,1.0,487.8666666666668,38.5,45.707402755644154,12.971666666666671,11.421666666666681,6
retail,Riyadh/Grocery,seasonal_naive,baseline,rolling,14,1.0,487.8666666666668,50.166666666666664,58.905291216777236,13.405000000000006,10.988333333333346,6
retail,Riyadh/Grocery,sarima,classical,rolling,1,1.0,164.5311462496252,41.39337825984689,47.748214793925456,3.5799424097552,4.646614902726065,6
retail,Riyadh/Grocery,sarima,classical,rolling,2,1.0,219.89429205402303,63.66565058300527,67.13756069320517,5.022966642177061,5.9717479605240955,6
retail,Riyadh/Grocery,sarima,classical,rolling,3,1.0,374.4526080517218,66.49659127764777,80.02718812012101,8.537498370321623,10.185132032264475,6
retail,Riyadh/Grocery,sarima,classical,rolling,4,1.0,365.1220355926166,85.99242867619036,103.1478216259803,7.374315828758273,10.881785950872564,6
retail,Riyadh/Grocery,sarima,classical,rolling,5,1.0,258.23000229732577,81.15415209727168,86.42376798356743,5.814282696730547,7.097217418135746,6
retail,Riyadh/Grocery,sarima,classical,rolling,6,1.0,244.79810582471714,72.11497630862246,94.47609194984356,5.133075522658916,7.106829768576948,6
retail,Riyadh/Grocery,sarima,classical,rolling,7,1.0,271.6286466496703,81.35663889785057,83.04136205718339,5.493735012444027,8.087697320039494,6
retail,Riyadh/Grocery,sarima,classical,rolling,8,1.0,313.4842126950121,83.42139070736982,91.82369091894867,6.297456297678205,9.376754337072413,6
retail,Riyadh/Grocery,sarima,classical,rolling,9,1.0,382.6531140768637,100.71434507043459,117.64922420998191,7.342713105476723,11.789942598366475,6
retail,Riyadh/Grocery,sarima,classical,rolling,10,1.0,652.8329212157141,97.57458753991058,117.98241847453063,11.57203974593977,21.069606314845952,6
retail,Riyadh/Grocery,sarima,classical,rolling,11,1.0,614.0624524244341,104.05731511182101,119.75111861937945,11.074352839295408,19.62876978192632,6
retail,Riyadh/Grocery,sarima,classical,rolling,12,1.0,410.12453155982934,81.92334066431378,88.2371748442853,7.495138814351109,13.01108776364037,6
retail,Riyadh/Grocery,sarima,classical,rolling,13,1.0,375.6391532414611,81.7060299768586,93.32090463734679,6.404894016631945,12.37706364544112,6
retail,Riyadh/Grocery,sarima,classical,rolling,14,1.0,418.49497283844676,117.23082968689506,127.04520333391214,7.204967262083252,13.719781379839098,6
retail,Riyadh/Grocery,ets,classical,rolling,1,1.0,158.92158873521913,25.780801126581974,28.684996159860304,3.3694804454616922,4.576598991299268,6
retail,Riyadh/Grocery,ets,classical,rolling,2,1.0,199.4555593824131,21.564649105382454,26.227141700482825,5.202398495607478,4.7703794735131835,6
retail,Riyadh/Grocery,ets,classical,rolling,3,1.0,320.1723640185175,60.08783301029683,69.13980201435112,9.539753538631487,6.468864662294393,6
retail,Riyadh/Grocery,ets,classical,rolling,4,1.0,318.0969518501959,36.901344492751626,43.22823140313015,8.310971360384045,7.593876232125759,6
retail,Riyadh/Grocery,ets,classical,rolling,5,1.0,232.14063682366236,40.76760420191123,52.91923198270856,6.5551196257043784,5.051912215478743,6
retail,Riyadh/Grocery,ets,classical,rolling,6,1.0,238.6324107796927,27.12857470834868,31.132128769342156,5.349460926379721,6.582159612604916,6
retail,Riyadh/Grocery,ets,classical,rolling,7,1.0,260.64460248057173,38.79523319894488,41.578632707471094,5.950652543607169,7.081577580421424,6
retail,Riyadh/Grocery,ets,classical,rolling,8,1.0,290.11638561507226,30.985596477318893,37.69687375228867,6.628547860639216,7.877271420114404,6
retail,Riyadh/Grocery,ets,classical,rolling,9,1.0,334.7669031452357,36.77932128845771,45.84045435281199,7.922845141234962,8.81550001602683,6
retail,Riyadh/Grocery,ets,classical,rolling,10,1.0,510.3896612813521,65.22364822813209,72.08932459082152,12.771389635669351,12.748093428398265,6
retail,Riyadh/Grocery,ets,classical,rolling,11,1.0,482.10672343412443,67.50411961497521,77.95366434197729,12.086239677417646,12.019096494288583,6
retail,Riyadh/Grocery,ets,classical,rolling,12,1.0,335.34088221726523,36.0340686195587,40.98449667627399,8.235073911643655,8.531970199219613,6
retail,Riyadh/Grocery,ets,classical,rolling,13,1.0,334.0899304889161,25.729460476281258,30.302560021512612,6.646991096759436,10.057505427686378,6
retail,Riyadh/Grocery,ets,classical,rolling,14,1.0,356.0502415583428,33.269649885127116,49.56060378625646,7.598886065376827,10.203626012540324,6
retail,Riyadh/Grocery,prophet,gam,rolling,1,1.0,407.92987626007124,14.732528423003174,18.74360436495837,10.540238280895261,9.856255532108309,6
retail,Riyadh/Grocery,prophet,gam,rolling,2,1.0,409.86945844600535,22.618751391208395,25.960692805742188,10.938019031182408,9.555453891117866,6
retail,Riyadh/Grocery,prophet,gam,rolling,3,1.0,407.31681719776697,22.691792205991117,30.74450193694488,10.251454661434344,10.114386198454012,6
retail,Riyadh/Grocery,prophet,gam,rolling,4,1.0,414.41965008194546,25.419625311715134,33.21059640841941,9.80858584580093,10.912396658296357,6
retail,Riyadh/Grocery,prophet,gam,rolling,5,1.0,412.87106470492927,40.67611213633777,56.42649150174983,12.37910168007007,8.264451555176402,6
retail,Riyadh/Grocery,prophet,gam,rolling,6,1.0,405.27728075900114,39.63296747721521,48.74571896131805,11.07989865176159,9.183965386188476,6
retail,Riyadh/Grocery,prophet,gam,rolling,7,1.0,411.1057582391066,35.409493779714694,39.00813917484202,11.208061160019623,9.347226751935718,6
retail,Riyadh/Grocery,prophet,gam,rolling,8,1.0,407.29222714495904,30.82012130786502,36.260598460729526,11.153870970574873,9.210740386673086,6
retail,Riyadh/Grocery,prophet,gam,rolling,9,1.0,407.73493698458043,37.96992982979294,41.74848952721203,11.001585117102351,9.385161732126681,6
retail,Riyadh/Grocery,prophet,gam,rolling,10,1.0,415.6014369836998,37.01308215496359,39.41351265808993,10.560007588884371,10.220064260300624,6
retail,Riyadh/Grocery,prophet,gam,rolling,11,1.0,406.69982062551213,51.26897938494568,55.208203863967505,10.358345414174453,9.976645617101163,6
retail,Riyadh/Grocery,prophet,gam,rolling,12,1.0,414.41167325807083,30.881671956937595,35.860643319528926,11.918367503312654,8.802216159590898,6
retail,Riyadh/Grocery,prophet,gam,rolling,13,1.0,408.420473042494,27.424686329766445,34.94926612309608,10.415593813620385,10.005429838504325,6
retail,Riyadh/Grocery,prophet,gam,rolling,14,1.0,404.7161175548568,35.197306984450286,49.473494327653356,10.744358608400717,9.49144726934213,6
retail,Riyadh/Grocery,sktime_theta,gam,rolling,1,1.0,182.55626293639878,23.976816068454394,27.309122471233316,3.8106101526096814,5.3172029942102625,6
retail,Riyadh/Grocery,sktime_theta,gam,rolling,2,1.0,222.48868095186455,22.25974865146843,28.57837268874706,5.632831140525995,5.4916029070672385,6
retail,Riyadh/Grocery,sktime_theta,gam,rolling,3,1.0,350.7220771237342,64.31220265940972,74.62701618544904,10.076909710355752,7.4591941458309705,6
retail,Riyadh/Grocery,sktime_theta,gam,rolling,4,1.0,343.78852563962204,40.597164319349474,48.147448063655645,8.759206763129896,8.430219518851214,6
retail,Riyadh/Grocery,sktime_theta,gam,rolling,5,1.0,248.3162016004909,43.05589577924352,55.52067742848723,6.845601471540724,5.570208608483828,6
retail,Riyadh/Grocery,sktime_theta,gam,rolling,6,1.0,253.47016288512432,28.19910610760789,32.40106682819517,5.604960348306129,7.068547795950093,6
retail,Riyadh/Grocery,sktime_theta,gam,rolling,7,1.0,275.3963580883565,38.86551002787905,41.89634804203145,6.186560889425796,7.583257014992037,6
retail,Riyadh/Grocery,sktime_theta,gam,rolling,8,1.0,304.9271633097648,33.36839238501639,39.12668752378252,6.864802446487093,8.381555719001154,6
retail,Riyadh/Grocery,sktime_theta,gam,rolling,9,1.0,350.0257016725659,40.54333016962269,49.186808957617345,8.178354574082308,9.322930509545996,6
retail,Riyadh/Grocery,sktime_theta,gam,rolling,10,1.0,531.8412994102615,73.71051776614185,79.56794648138336,13.109015518964895,13.48304945154819,6
retail,Riyadh/Grocery,sktime_theta,gam,rolling,11,1.0,500.6873560232012,71.39229678771086,83.7970994949606,12.384239919562411,12.650127881597662,6
retail,Riyadh/Grocery,sktime_theta,gam,rolling,12,1.0,347.2442343248279,40.520815070592455,44.735587684703354,8.438599324264507,8.923612391976901,6
retail,Riyadh/Grocery,sktime_theta,gam,rolling,13,1.0,345.3410536005733,26.31900216304884,30.745816613552012,6.831525909903547,10.435526770125128,6
retail,Riyadh/Grocery,sktime_theta,gam,rolling,14,1.0,367.5563562333959,35.548548910862515,52.12322961789245,7.772663135313707,10.605154676356095,6
retail,Riyadh/Grocery,lgbm_quantile,ml,rolling,1,0.8333333333333334,98.75971568709679,23.84418243983573,30.213366982088708,2.58276626635721,3.718007379537434,6
retail,Riyadh/Grocery,lgbm_quantile,ml,rolling,2,1.0,91.96229278746527,16.65650581238818,21.375235380816452,1.9522565049023417,2.645858134470924,6
retail,Riyadh/Grocery,lgbm_quantile,ml,rolling,3,0.6666666666666666,107.04633693268251,34.958574698351924,48.58621073502491,4.850355993109258,14.562758466883094,6
retail,Riyadh/Grocery,lgbm_quantile,ml,rolling,4,1.0,108.83340176390789,22.43263111044077,25.825772634390518,2.5666690035535065,2.8750010846418905,6
retail,Riyadh/Grocery,lgbm_quantile,ml,rolling,5,0.5,71.48086517856656,43.91391254386167,51.999501922313605,3.1962282489652307,17.892404958466113,6
retail,Riyadh/Grocery,lgbm_quantile,ml,rolling,6,0.5,73.61603247414226,37.21944944651455,44.04059673009132,7.9696437794402115,2.2891950618243677,6
retail,Riyadh/Grocery,lgbm_quantile,ml,rolling,7,0.6666666666666666,70.0553384673689,29.84810073570665,36.73598507666194,4.393795740586456,3.6676598531028515,6
retail,Riyadh/Grocery,lgbm_quantile,ml,rolling,8,0.6666666666666666,86.08479247513094,29.839473617729073,31.350086947280122,3.3561219356824115,2.930731965136705,6
retail,Riyadh/Grocery,lgbm_quantile,ml,rolling,9,0.6666666666666666,82.99863385540034,36.514862410630606,43.84755161813171,7.16967145071932,5.62007184190865,6
retail,Riyadh/Grocery,lgbm_quantile,ml,rolling,10,0.5,104.58075372416828,28.553603561974608,38.40069334496098,5.042132380507892,17.626921829801784,6
retail,Riyadh/Grocery,lgbm_quantile,ml,rolling,11,0.6666666666666666,106.66826883227935,50.99323391282926,63.72450424214381,3.6340024669564746,18.67675109344873,6
retail,Riyadh/Grocery,lgbm_quantile,ml,rolling,12,0.6666666666666666,68.9464022748331,28.25553231472507,38.4757710474066,2.944098954112755,6.3366815537732215,6
retail,Riyadh/Grocery,lgbm_quantile,ml,rolling,13,0.6666666666666666,69.32713562145265,30.521701709285765,39.23127936211223,6.533545090246395,2.9714494471844817,6
retail,Riyadh/Grocery,lgbm_quantile,ml,rolling,14,0.6666666666666666,74.5887424552253,30.107559592481977,40.18276302560891,2.9146780597660786,12.79814414777326,6
retail,Riyadh/Grocery,lgbm_conformal,ml,rolling,1,1.0,238.80945824568732,23.877168630932243,27.020774733750077,4.062591643878198,7.877881268406177,6
